iata,title,city,state,country,latitude,longitude
09K,Sargent Municipal,Sargent,NE,USA,28.17206524,113.0515004
09M,Charleston Municipal,Charleston,MS,USA,28.17223396,113.0522804
09W,South Capitol Street,Washington,DC,USA,28.17205893,113.0513588
0A3,Smithville Municipal,Smithville,TN,USA,28.17199575,113.0518313
0A8,Bibb County,Centreville,AL,USA,28.17210494,113.0515401
0A9,Elizabethton Municipal,Elizabethton,TN,USA,28.1723242,113.0522142
0AK,Pilot Station,Pilot Station,AK,USA,28.17217533,113.0513955
0B1,Col. Dyke,Bethel,ME,USA,28.17218885,113.0519067
0B4,Hartington Municipal,Hartington,NE,USA,28.17207786,113.0520676
0B5,Turners Falls,Montague,MA,USA,28.17209772,113.0518313
0B7,Warren-Sugar Bush,Warren,VT,USA,28.17219878,113.0521266
0B8,Elizabeth,Fishers Island,NY,USA,28.17217354,113.0487744
0C0,Dacy,Chicago/Harvard,IL,USA,28.17220693,113.0488335
0C4,Pender Municipal,Pender,NE,USA,28.17184057,113.0489567
0D1,South Haven Municipal,South Haven,MI,USA,28.17207879,113.0490331
0D8,Gettysburg Municipal,Gettysburg,SD,USA,28.17223129,113.0497001
0.00E+00,Moriarty,Moriarty,NM,USA,28.17214557,113.0487276
0.00E+00,Crownpoint,Crownpoint,NM,USA,28.17207969,113.0497805
0F2,Bowie Municipal,Bowie,TX,USA,28.1720436,113.0495799
0F4,Loup City Municipal,Loup City,NE,USA,28.17215639,113.0497724
0F7,Fountainhead Lodge Airpark,Eufaula,OK,USA,28.17215279,113.0491186
0F8,William R Pogue Municipal,Sand Springs,OK,USA,28.17224122,113.0494282
0F9,Tishomingo Airpark,Tishomingo,OK,USA,28.17203638,113.0494058
0G0,North Buffalo Suburban,Lockport,NY,USA,28.17219249,113.0489761
0G3,Tecumseh Municipal,Tecumseh,NE,USA,28.17214827,113.0495412
0G6,Williams County,Bryan,OH,USA,28.17207879,113.0488406
0G7,Finger Lakes Regional,Seneca Falls,NY,USA,28.17225835,113.0507214
0H1,Trego Wakeeney,Wakeeney,KS,USA,28.17199938,113.0500636
0I8,Cynthiana-Harrison County,Cynthiana,KY,USA,28.17224572,113.0501725
0J0,Abbeville Municipal,Abbeville,AL,USA,28.17205262,113.0502723
0J4,Florala Municipal,Florala,AL,USA,28.17224752,113.0509617
0J6,Headland Municipal,Headland,AL,USA,28.17205983,113.0509627
0K7,Humboldt Municipal,Humboldt,IA,USA,28.17220963,113.0499322
0L5,Goldfield,Goldfield,NV,USA,28.17203638,113.0504627
0L7,Jean,Jean,NV,USA,28.1720824,113.0502825
0L9,Echo Bay,Overton,NV,USA,28.17206164,113.0507336
0M0,Dumas Municipal,Dumas,AR,USA,28.17223941,113.0504149
0M1,Scott,Parsons,TN,USA,28.17209322,113.0508365
0M4,Benton County,Camden,TN,USA,28.17201292,113.0505167
0M5,Humphreys County,Waverly,TN,USA,28.17208511,113.0499923
0M6,Panola County,Batesville,MS,USA,28.17203728,113.0498813
0M8,Byerley,Lake Providence,LA,USA,28.17221323,113.0513476
0O3,Calaveras Co-Maury Rasmussen,San Andreas,CA,USA,28.17206524,113.0515065
0O4,Corning Municipal,Corning,CA,USA,28.17223306,113.0522732
0O5,University,Davis,CA,USA,28.17205983,113.0513619
0Q5,Shelter Cove,Shelter Cove,CA,USA,28.17199575,113.0518364
0Q6,Shingletown,Shingletown,CA,USA,28.17210584,113.0515472
0R0,Columbia-Marion County,Columbia,MS,USA,28.1723233,113.052205
0R1,Atmore Municipal,Atmore,AL,USA,28.17217443,113.0513873
0R3,Abbeville Chris Crusta Memorial,Abbeville,LA,USA,28.17218885,113.0518995
0R4,Concordia Parish,Vidalia,LA,USA,28.17207786,113.0520737
0R5,David G Joyce,Winnfield,LA,USA,28.17209772,113.0518374
0R7,Red River,Coushatta,LA,USA,28.17219878,113.0521205
0S7,Dorothy Scott,Oroville,WA,USA,28.17204089,113.0490932
0S9,Jefferson County International,Port Townsend,WA,USA,28.17216722,113.0502601
0V2,Harriet Alexander,Salida,CO,USA,28.17211666,113.0522539
0V3,Pioneer Village,Minden,NE,USA,28.17220327,113.0527152
0V4,Brookneal/Campbell County,Brookneal,VA,USA,28.17217444,113.0487694
0V6,Mission Sioux,Mission,SD,USA,28.17220602,113.0488284
0V7,Kayenta,Kayenta,AZ,USA,28.17184148,113.0489628
10C,Galt,Chicago/Greenwood/Wonderlake,IL,USA,28.1720797,113.0490392
10D,Winsted Municipal,Winsted,MN,USA,28.17223039,113.0496919
10G,Holmes County,Millersburg,OH,USA,28.17214557,113.0487235
10N,Wallkill,Wallkill,NY,USA,28.17207969,113.0497846
10U,Owyhee,Owyhee,NV,USA,28.1720436,113.049586
11A,Clayton Municipal,Clayton,AL,USA,28.17215639,113.0497683
11D,Clarion Cty,Clarion,PA,USA,28.17215279,113.0491146
11IS,Schaumburg Heliport,Chicago/Schaumburg,IL,USA,28.17224122,113.0494231
11J,Early County,Blakely,GA,USA,28.17203638,113.0494109
11R,Brenham Municipal,Brenham,TX,USA,28.17219249,113.048972
12C,Rochelle Municipal,Rochelle,IL,USA,28.17214827,113.0495361
12D,Tower Municipal,Tower,MN,USA,28.1720797,113.0488457
12J,Brewton Municipal,Brewton,AL,USA,28.17225835,113.0507173
12K,Superior Municipal,Superior,NE,USA,28.17199938,113.0500677
12Y,Le Sueur Municipal,Le Sueur,MN,USA,28.17224572,113.0501695
13C,Lakeview,Lakeview,MI,USA,28.17205262,113.0502774
13K,Eureka Municipal,Eureka,KS,USA,28.17224752,113.0509556
13N,Trinca,Andover,NJ,USA,28.17205983,113.0509678
14J,Carl Folsom,Elba,AL,USA,28.17220963,113.0499282
14M,Hollandale Municipal,Hollandale,MS,USA,28.17203638,113.0504689
14Y,Todd Field,Long Prairie,MN,USA,28.1720824,113.0502896
15F,Haskell Municipal,Haskell,TX,USA,28.17206164,113.0507377
15J,Cook County,Adel,GA,USA,28.17223941,113.0504098
15M,Luka,Luka,MS,USA,28.17209232,113.0508426
15Z,McCarthy 2,McCarthy,AK,USA,28.17201292,113.0505228
16A,Nunapitchuk,Nunapitchuk,AK,USA,28.17208511,113.0499984
16G,Seneca County,Tiffin,OH,USA,28.17203728,113.0498874
16J,Dawson Municipal,Dawson,GA,USA,28.17221323,113.0513436
16S,Myrtle Creek Municipal,Myrtle Creek,OR,USA,28.17206434,113.0515126
17G,Port Bucyrus-Crawford County,Bucyrus,OH,USA,28.17223306,113.0522682
17J,Donalsonville Municipal,Donalsonville,GA,USA,28.17205893,113.0513649
17K,Boise City,Boise City,OK,USA,28.17199575,113.0518405
17M,Magee Municipal,Magee,MS,USA,28.17210584,113.0515533
17N,Cross Keys,Cross Keys,NJ,USA,28.17232149,113.0521989
17Z,Manokotak,Manokotak,AK,USA,28.17217443,113.0513639
18A,Franklin County,Canon,GA,USA,28.17218795,113.0518904
18I,McCreary County,Pine Knot,KY,USA,28.17207786,113.0520798
19A,Jackson County,Jefferson,GA,USA,28.17209862,113.0518435
19M,C A Moore,Lexington,MS,USA,28.17219878,113.0521134
19N,Camden,Berlin,NJ,USA,28.17204089,113.0490983
19P,Port Protection SPB,Port Protection,AK,USA,28.17216722,113.0502509
1A3,Martin Campbell,Copperhill,TN,USA,28.17211756,113.05226
1A5,Macon County,Franklin,NC,USA,28.17220237,113.0527111
1A6,Middlesboro-Bell County,Middlesboro,KY,USA,28.17215369,113.0493895
1A7,Jackson County,Gainesboro,TN,USA,28.17217444,113.0487643
1A9,Autauga County,Prattville,AL,USA,28.17220693,113.0488233
1B0,Dexter Regional,Dexter,ME,USA,28.17184238,113.0489628
1B1,Columbia Cty,Hudson,NY,USA,28.1720797,113.0490443
1B3,Fair Haven,Fair Haven,VT,USA,28.17223039,113.0496827
1B9,Mansfield Municipal,Mansfield,MA,USA,28.17214557,113.0487205
1C5,Clow,Chicago/Plainfield,IL,USA,28.17207879,113.0497917
1D1,Milbank Municipal,Milbank,SD,USA,28.1720436,113.0495911
1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,USA,28.17215549,113.0497632
1D3,Platte Municipal,Platte,SD,USA,28.17215279,113.0491105
1D6,Hector Municipal,Hector,MN,USA,28.17224212,113.049417
1D7,Webster Municipal,Webster,SD,USA,28.17203638,113.0494149
1D8,Redfield Municipal,Redfield,SD,USA,28.17219068,113.0489608
1F0,Downtown Ardmore,Ardmore,OK,USA,28.17214827,113.049531
1F1,Lake Murray State Park,Overbrook,OK,USA,28.17207879,113.0488518
1F4,Madill Municipal,Madill,OK,USA,28.17225745,113.0507112
1F9,Bridgeport Municipal,Bridgeport,TX,USA,28.17199938,113.0500738
1G0,Wood County,Bowling Green,OH,USA,28.17224572,113.0501634
1G3,Kent State University,Kent,OH,USA,28.17205262,113.0502835
1G4,Grand Canyon West,Peach Springs,AZ,USA,28.17224662,113.0509495
1G5,Freedom,Medina,OH,USA,28.17206074,113.0509749
1G6,Michael,Cicero,NY,USA,28.17220873,113.0499241
1H0,Creve Coeur,St Louis,MO,USA,28.17203728,113.0504739
1H2,Effingham County Memorial,Effingham,IL,USA,28.1720833,113.0502958
1H3,Linn State Tech. College,Linn,MO,USA,28.17206164,113.0507468
1H8,Casey Municipal,Casey,IL,USA,28.17223941,113.0504037
1I5,Freehold,Freehold,NY,USA,28.17209322,113.0508497
1I9,Delphi Municipal,Delphi,IN,USA,28.17201292,113.0505269
1J0,Tri-County,Bonifay,FL,USA,28.17208511,113.0500035
1K2,Lindsay Municipal,Lindsay,OK,USA,28.17203728,113.0498935
1K4,David J. Perry,Goldsby,OK,USA,28.17221323,113.0513375
1K5,Waynoka Municipal,Waynoka,OK,USA,28.17206614,113.0515187
1K9,Satanta Municipal,Satanta,KS,USA,28.17223306,113.0522641
1L0,St. John the Baptist Parish,Reserve,LA,USA,28.17205983,113.051369
1L1,Lincoln Co,Panaca,NV,USA,28.17199575,113.0518435
1L7,Escalante Municipal,Escalante,UT,USA,28.17210494,113.0515605
1L9,Parowan,Parowan,UT,USA,28.17232059,113.0521928
1M1,North Little Rock Municipal,No Lit Rock,AR,USA,28.17217352,113.0513568
1M2,Belzoni Municipal,Belzoni,MS,USA,28.17218885,113.0518832
1M4,Posey,Haleyville,AL,USA,28.17207786,113.0520869
1M5,Portland Municipal,Portland,TN,USA,28.17209862,113.0518517
1M7,Fulton,Fulton,KY,USA,28.17219878,113.0521073
1MO,Mountain Grove Memorial,Mountain Grove,MO,USA,28.17204089,113.0491044
1N2,Spadaro,East Moriches,NY,USA,28.17216632,113.0502459
1N4,Woodbine Muni,Woodbine,NJ,USA,28.17211666,113.0522641
1N7,Blairstown,Blairstown,NJ,USA,28.17220237,113.052707
1N9,Allentown Queen City Muni,Allentown,PA,USA,28.17215369,113.0493844
1ND3,Hamry,Kindred,ND,USA,28.17202642,113.0523761
1O1,Grandfield Municipal,Grandfield,OK,USA,28.17217354,113.0487602
1O2,Lampson,Lakeport,CA,USA,28.17220693,113.0488193
1O3,Lodi,Lodi,CA,USA,28.17184418,113.0489669
1O4,Thomas Municipal,Thomas,OK,USA,28.1720797,113.0490504
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA,28.17222948,113.0496787
1R1,Jena,Jena,LA,USA,28.17214466,113.0487154
1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA,28.17207969,113.0497978
1R8,Bay Minette Municipal,Bay Minette,AL,USA,28.1720427,113.0495972
1S0,Pierce County,Puyallup,WA,USA,28.17215639,113.0497591
1S3,Tillitt,Forsyth,MT,USA,28.17215279,113.0491044
1S5,Sunnyside Municipal,Sunnyside,WA,USA,28.17224122,113.0494119
1S6,Priest River Muni,Priest River,ID,USA,28.17203548,113.049419
1U7,Bear Lake County,Paris,ID,USA,28.17219159,113.0489679
1V0,Navajo State Park,Navajo Dam,NM,USA,28.17214827,113.049527
1V2,Grant County,Hyannis,NE,USA,28.17207879,113.0488569
,,,,,28.17225835,113.0507071
